Year,global_co2,temp_anomaly,temp_anomaly_5yr,sea_level_mm,sea_level_5yr,n_disasters
1880,,,,0.0,,
1881,,,,0.220472441,,
1882,,,,-0.440944881,0.027559055199999995,
1883,,,,-0.232283464,0.1338582676,
1884,,,,0.59055118,0.1771653542,
1885,,,,0.531496062,0.30866141700000005,
1886,,,,0.437007874,0.4149606294,
1887,,,,0.216535433,0.3692913382,
1888,,,,0.299212598,0.351181102,
1889,,,,0.362204724,0.3385826768,
1890,,,,0.440944881,0.39527558999999995,
1891,,,,0.374015748,0.4724409442,
1892,,,,0.499999999,0.4606299206,
1893,,,,0.685039369,0.5259842513999999,
1894,,,,0.303149606,0.5448818891999999,
1895,,,,0.767716535,0.5795275585999999,
1896,,,,0.468503937,0.651181102,
1897,,,,0.673228346,0.858267716,
1898,,,,1.043307086,0.9299212592,
1899,,,,1.338582676,1.0582677156,
1900,,,,1.125984251,1.1818897625999998,
1901,,,,1.110236219,1.2944881876,
1902,,,,1.291338581,1.2669291324,
1903,,,,1.606299211,1.2385826758,
1904,,,,1.2007874,1.2669291326,
1905,,,,0.984251968,1.2480314948,
1906,,,,1.251968503,1.1464566917999999,
1907,,,,1.196850392,1.1614173218000001,
1908,,,,1.098425196,1.2188976366,
1909,,,,1.27559055,1.2881889750000002,
1910,,,,1.271653542,1.3440944868,
1911,,,,1.598425195,1.4338582662000001,
1912,,,,1.476377951,1.537795274,
1913,,,,1.547244093,1.7047244075999999,
1914,,,,1.795275589,1.7913385808000002,
1915,,,,2.10629921,1.8669291319999999,
1916,,,,2.031496061,1.9157480296,
1917,,,,1.854330707,1.9275590532,
1918,,,,1.791338581,1.887401573,
1919,,,,1.854330707,1.8787401555999999,
1920,,,,1.905511809,1.8984251950000002,
1921,,,,1.988188974,1.9401574784000002,
1922,,,,1.952755904,1.9118110216000002,
1923,,,,1.999999998,1.888976376,
1924,,,,1.712598423,1.9007873996,
1925,,,,1.791338581,1.9110236200000004,
1926,,,,2.047244092,1.8811023601999999,
1927,,,,2.003937006,1.9196850374,
1928,,,,1.850393699,1.9740157459999998,
1929,,,,1.905511809,1.9740157459999998,
1930,,,,2.062992124,2.027559053,
1931,,,,2.047244092,2.1456692889999998,
1932,,,,2.271653541,2.210236218,
1933,,,,2.440944879,2.2874015722,
1934,,,,2.228346454,2.3370078714,
1935,,,,2.448818895,2.3866141706,
1936,,,,2.295275588,2.4228346430000003,
1937,,,,2.519685037,2.5425196824,
1938,,,,2.622047241,2.5763779502,
1939,,,,2.826771651,2.7370078714000003,
1940,,,,2.618110234,2.8527559028,
1941,,,,3.098425194,2.9480314934,
1942,,,,3.098425194,2.9519685012,
1943,,,,3.098425194,3.0196850364,
1944,,,,2.84645669,3.0503936977999997,
1945,,,,2.95669291,3.105511808,
1946,,,,3.251968501,3.1984251936,
1947,,,,3.374015745,3.3314960596,
1948,,,,3.562992122,3.4598425161999997,
1949,,,,3.51181102,3.6039370042,
1950,,,,3.598425193,3.7031496024,
1951,,,,3.972440941,3.7992125944,
1952,,,,3.870078736,3.8826771612,
1953,,,,4.043307082,3.9559055076,
1954,,,,3.929133854,3.9141732242000002,
1955,,,,3.964566925,3.9984251926,
1956,,,,3.763779524,4.0590551138,
1957,,,,4.291338578,4.1448818854,
1958,,,,4.346456688,4.2527559010000004,
1959,,,,4.358267712,4.4496062944000006,
1960,,,,4.503937003,4.4999999952,
1961,,,,4.748031491,4.5267716488,
1962,,,,4.543307082,4.4889763732,
1963,,,,4.480314956,4.5102362158,
1964,,,,4.169291334,4.4401574757999995,
1965,,,,4.610236216,4.4220472396,
1966,,,,4.397637791,4.4228346412,
1967,,,,4.452755901,4.5393700742,
1968,,,,4.484251964,4.552755900999999,
1969,,,,4.751968499,4.6496062946,
1970,,,,4.67716535,4.807086609400001,
1971,,,,4.881889759,4.9110236172,
1972,,,,5.240157475,5.0551181052,
1973,,,,5.003937003,5.2015747978,
1974,,,,5.472440939,5.299212593,
1975,,,,5.409448813,5.3118110182,
1976,,,,5.370078735,5.422047238599999,
1977,,,,5.303149601,5.3999999946,
1978,,,,5.555118105,5.4377952702000005,
1979,,,,5.362204719,5.581102356600001,
1980,18965.477685512975,0.26,,5.598425191,5.6921259786,133.0
1981,18469.587934736162,0.32,,6.086614167,5.818897632,138.0
1982,18358.356555856764,0.14,0.238,5.858267711,5.9771653484,153.0
1983,18545.017752919346,0.31,0.21000000000000002,6.188976372,6.0070866082,205.0
1984,19099.09747229144,0.16,0.182,6.153543301,5.9440944822,146.0
1985,19779.00044430606,0.12,0.21800000000000003,5.74803149,5.9314960569999995,165.0
1986,20045.86476491578,0.18,0.23399999999999999,5.771653537,5.8897637736,150.0
1987,20580.08081160672,0.32,0.25600000000000006,5.795275585,5.890551175200001,191.0
1988,21374.447026675567,0.39,0.322,5.980314955,5.9905511752,200.0
1989,21636.26151132025,0.27,0.366,6.157480309,6.105511805,172.0
1990,22184.273979408666,0.45,0.346,6.24803149,6.2212598364,278.0
1991,22662.921002384275,0.4,0.31399999999999995,6.346456686,6.2858267654,228.0
1992,21966.60683861561,0.22,0.32199999999999995,6.374015742,6.3559055054,204.0
1993,22192.43712052889,0.23,0.32,6.3031496,6.4307086548,260.0
1994,22389.7685575597,0.31,0.306,6.507874009,6.5181102296,246.0
1995,22899.380489777774,0.44,0.354,6.622047237,6.6551181033999995,248.0
1996,23564.96132285148,0.33,0.43000000000000005,6.78346456,6.7283464498,227.0
1997,23677.03765087016,0.46,0.44400000000000006,7.059055111,6.8275590481999995,261.0
1998,23549.458224587142,0.61,0.434,6.669291332,6.9141732214000005,288.0
1999,24064.35095940903,0.38,0.47400000000000003,7.003937001,7.011811016600001,337.0
2000,24723.15655168332,0.39,0.508,7.055118103,7.073228339400001,411.0
2001,24909.397225625813,0.53,0.508,7.271653536,7.285039362800001,376.0
2002,25462.42593050748,0.63,0.538,7.366141725,7.426771646000001,421.0
2003,26816.992787109688,0.61,0.596,7.728346449,7.5590551104,360.0
2004,27699.941096825525,0.53,0.6180000000000001,7.712598417,7.6818897559999995,350.0
2005,28653.28790350631,0.68,0.624,7.716535425,7.800787393600001,432.0
2006,29597.067849271,0.64,0.6100000000000001,7.885826764,7.915748023400001,401.0
2007,30444.20063751377,0.66,0.6340000000000001,7.960629913,8.0795275508,414.0
2008,30984.12065897137,0.54,0.642,8.303149598,8.303149597800001,352.0
2009,30490.854699492455,0.65,0.636,8.531496054,8.505511802200001,344.0
2010,32237.28674974665,0.72,0.632,8.83464566,8.7622047154,393.0
2011,33365.63909715414,0.61,0.658,8.897637786,8.8842519594,334.0
2012,33852.79393326491,0.64,0.678,9.244094479,,346.0
2013,34157.65803739056,0.67,0.712,8.913385818,,332.0
2014,34342.717398200184,0.75,0.792,,,320.0
2015,34242.61753740534,0.89,0.8460000000000001,,,380.0
2016,34214.957504289225,1.01,0.882,,,325.0
2017,34765.471572825685,0.91,0.9279999999999999,,,276.0
2018,35489.5826525297,0.85,0.952,,,282.0
2019,35838.60681208037,0.98,0.9199999999999999,,,361.0
2020,34310.22766253352,1.01,0.916,,,
2021,35978.96477871947,0.85,0.9800000000000001,,,
2022,36553.53307995014,0.89,1.0399999999999998,,,
2023,37003.06989342254,1.17,1.076,,,
2024,37398.06442559138,1.28,,,,
2025,,1.19,,,,
